x_m,y_m,w_tr_right_m,w_tr_left_m
89634.94111803515,43198.08774489394,3.5993111511670968,3.702605790927235
89635.03099874985,43198.0699744272,3.5928036683655757,3.6993644867426734
89635.12059742954,43198.05059905683,3.5885452694193503,3.695142972432245
89635.20993416224,43198.02978138112,3.58640476676207,3.6899148347466406
89635.29902903589,43198.00768399836,3.5861605453519987,3.683601431074616
89635.38790213848,43197.984469506846,3.587531738738232,3.676107280906633
89635.47657355796,43197.96030050487,3.5902094436387455,3.6673504180401335
89635.56506338234,43197.93533959071,3.5938820132873004,3.657283129618626
89635.65339169954,43197.90974936266,3.5989507567775916,3.6459027312817094
89635.74157859758,43197.88369241902,3.6084199600976534,3.633254673614229
89635.82964458498,43197.85733065923,3.6178273135988026,3.619430406376982
89635.91761939005,43197.8308106641,3.626973651541248,3.604550434415874
89636.00554171512,43197.804264103775,3.6357053117169924,3.5957508121741357
89636.09345063407,43197.77782203114,3.6439005219607004,3.59475900038971
89636.18138522077,43197.75161549907,3.651466987941435,3.594027469030434
89636.26938454912,43197.72577556049,3.6583387197563417,3.5937312397480383
89636.35748769295,43197.70043326825,3.6644707203898244,3.594055630628908
89636.44573372613,43197.67571967527,3.669831024893775,3.5951879079188163
89636.53416172256,43197.651765834424,3.674390411017265,3.597308098485445
89636.62281075591,43197.6287027979,3.6781110904164667,3.6005803847747457
89636.71170901736,43197.606622679705,3.6809767479550723,3.6051063503494114
89636.80084455224,43197.58547394956,3.6830937534589663,3.6108134973414305
89636.89019615058,43197.56517196122,3.684573809657284,3.617571546760214
89636.97974260243,43197.545632068446,3.6855016515853114,3.625232040233111
89637.0694626978,43197.52676962499,3.685940647804586,3.6336357238380135
89637.15933522677,43197.508499984586,3.6859402061395854,3.6426203344236687
89637.24933897934,43197.49073850102,3.685543251022037,3.652027350359511
89637.33945274558,43197.47340052804,3.6847925571044446,3.6617069713280985
89637.42965531551,43197.45640141939,3.68373539878098,3.6658705000326703
89637.51992547918,43197.43965652884,3.6824265126701827,3.6696321419637528
89637.61024202664,43197.42308121014,3.6809296421309217,3.6734838264941776
89637.70058374788,43197.406590817045,3.6793179712325292,3.6773263438001615
89637.790929433,43197.390100703306,3.677673680011596,3.6810707082645524
89637.88125787198,43197.373526222684,3.6760867820552923,3.684636965957871
89637.97154785492,43197.35678272894,3.6746534048143613,3.687952362242666
89638.06177822215,43197.33978577303,3.673473534297937,3.6909492514574964
89638.15193373339,43197.3224740919,3.6726252342359094,3.6935863686117534
89638.24201055277,43197.304831094065,3.672140695733085,3.6958687453530046
89638.33200614204,43197.28684527075,3.672045750366197,3.697805115923214
89638.421917963,43197.26850511317,3.6723644186612168,3.699401648339111
89638.51174347733,43197.249799112564,3.6731187438097765,3.700661606604402
89638.60148014684,43197.23071576014,3.67432893825951,3.701585514120334
89638.6911254333,43197.21124354714,3.673690716992192,3.702171535561668
89638.78067679841,43197.19137096478,3.670166968043922,3.7024157641026063
89638.87013170395,43197.171086504284,3.667131854848891,3.702312123012945
89638.95948761169,43197.15037865689,3.6646050120450218,3.7018516516717908
89639.04874198335,43197.1292359138,3.6626039170682083,3.701021061737325
89639.13789228072,43197.10764676626,3.661142629500867,3.6998006621367785
89639.22693596553,43197.08559970548,3.660230073234617,3.6981620679033194
89639.31587049959,43197.06308322271,3.6598684596977895,3.696066487790307
89639.40469334456,43197.040085809145,3.6600527750137855,3.693464713150729
89639.49340196264,43197.016595957706,3.6607723603440188,3.690299970951481
89639.58200254952,43196.99264077027,3.6619757076092316,3.686553926312704
89639.67053261456,43196.968385779306,3.663475085347009,3.68235869395198
89639.75903668263,43196.94402753067,3.6650645929149044,3.677897649735783
89639.84755927848,43196.91976257021,3.666558051995148,3.67338276953771
89639.93614492696,43196.89578744379,3.6677895543564674,3.6690579615048615
89640.02483815284,43196.872298697264,3.66860533058618,3.6651931217970612
89640.11368348094,43196.84949287648,3.668846372786322,3.662067897343853
89640.20272543606,43196.82756652732,3.6683256797572263,3.6599484104366686
89640.29200854301,43196.80671619561,3.666808857363055,3.6590649805210402
89640.38157732658,43196.78713842722,3.6640091875372423,3.6617894573743826
89640.47146819794,43196.76899364428,3.65964211512722,3.6694663772045564
89640.56160850811,43196.751956709595,3.6574017117482236,3.6778943543274853
89640.65184755027,43196.73535495562,3.6567403495414155,3.6862857195865786
89640.74203292267,43196.71850816851,3.6565743141514306,3.6939466858529393
89640.83201222356,43196.700736134444,3.657655157536371,3.7002915218816703
89640.92163864922,43196.681384231626,3.6607123489687403,3.7048373028690094
89641.0108681485,43196.66026758204,3.6659612583614036,3.707601052207049
89641.09974676711,43196.63761319488,3.6731299883304787,3.7089811495520113
89641.18832360396,43196.61366203736,3.6818558638286407,3.7093123260716396
89641.27664775802,43196.58865507668,3.688863884418723,3.708845051102278
89641.36476832816,43196.56283328007,3.6907064640134295,3.707766317401794
89641.45273441334,43196.53643761475,3.693227660480288,3.706234020208528
89641.54059511248,43196.50970904792,3.69609415233411,3.704410155570807
89641.62839952453,43196.482888546794,3.6990033716542032,3.702482793750687
89641.7161967484,43196.4562170786,3.7016899989487917,3.7006736672169183
89641.804035883,43196.429935610555,3.7039205430963547,3.6992341543268115
89641.89196602728,43196.40428510388,3.705482185785463,3.698435900111961
89641.98003610253,43196.37941915544,3.7062572636999813,3.698478898551333
89642.0682944049,43196.35518378775,3.706433070373053,3.699278658532337
89642.15678909299,43196.331357371884,3.7214712649092783,3.7007064020747484
89642.24556832545,43196.3077182789,3.745382986318628,3.7026741772733063
89642.33468019964,43196.284045416185,3.7668621055417293,3.7051653955931925
89642.42414923201,43196.26032430182,3.7854932939894512,3.7074715257205053
89642.51394080627,43196.23705856131,3.8004642608700765,3.697326798268713
89642.60401118586,43196.214831728954,3.81120902960876,3.688817325282936
89642.69431663431,43196.19422733908,3.8176272391791577,3.6831661335923487
89642.7848134151,43196.175828925996,3.8201295662481956,3.6817651995093303
89642.8754577917,43196.16022002404,3.8195549085246605,3.6860517424668693
89642.96620602763,43196.14798416749,3.816951087437158,3.6973064428843383
89643.0570143864,43196.13970489068,3.813259703110561,3.7164125859177033
89643.14783913144,43196.13596572794,3.808994575960011,3.7436526532107672
89643.23864064168,43196.137297302106,3.804077705270299,3.7785830290114806
89643.32945288291,43196.14328413084,3.798705525883439,3.835204617080344
89643.4203733161,43196.152694376,3.793374341600415,3.9009788868995807
89643.5115014855,43196.164269415014,3.7883713660329845,3.9647589901808478
89643.60293693532,43196.17675062529,3.7840317833408137,4.023967606956497
89643.6947792098,43196.188879384245,3.7809162338970115,4.0770663032815975
89643.78711155594,43196.19951783561,3.779730016534361,4.123674971397195
89643.87987941025,43196.20854932882,3.780355624943775,4.16522205032457
89643.97295892674,43196.21637061206,3.7822733458680653,4.19336100792524
89644.066225735,43196.22338231962,3.785009451295923,4.179399601724063
89644.15955546463,43196.22998508582,3.7881260884540473,4.164326788777999
89644.25282374522,43196.23657954496,3.7912522493548635,4.148188500930273
89644.34590620633,43196.24356633134,3.7941357494850583,4.1312694937575785
89644.43867847757,43196.25134607927,3.7966907577786597,4.114139550809528
89644.53101618851,43196.260319423054,3.7990214045009063,4.097668717647065
89644.62279496877,43196.27088699699,3.8014061571823325,4.083005311822803
89644.71389044789,43196.28344943538,3.8042270140298395,4.07150709516879
89644.80417825548,43196.29840737256,3.807826907397308,4.064611166235786
89644.8935340211,43196.3161614428,3.812289271301258,4.024283690585024
89644.98183337438,43196.33711228042,3.817167710831162,3.9392276795120096
89645.06895194488,43196.361660519724,3.8212492460403347,3.864014306721929
89645.15476536221,43196.390206795,3.8224856385914077,3.800418753997632
89645.23914925591,43196.42315174058,3.81822216210697,3.76099386053189
89645.3219894237,43196.46086740027,3.8057787907061638,3.751907654653186
89645.40360380411,43196.5025107309,3.784436471155196,3.7496824215192186
89645.4848940061,43196.54559753375,3.756482694673961,3.7507920502029566
89645.56680297364,43196.58752738503,3.732902070292381,3.7517323819325683
89645.6502736507,43196.62569986093,3.7207515225468883,3.7491025260656046
89645.73621495455,43196.65760146924,3.715516836975848,3.739642980899301
89645.82442384868,43196.68355954266,3.717661625687006,3.723264420538227
89645.91336418364,43196.707307257464,3.7239287480598096,3.6948903279132295
89646.0014210946,43196.7327788922,3.7307419813757114,3.664969876488313
89646.0869994928,43196.763861455496,3.7343176463164625,3.6403059696749374
89646.16942545559,43196.80224012464,3.732732231053739,3.6239247083008337
89646.24931815758,43196.846509231254,3.726702906029744,3.6152981948138563
89646.32739362831,43196.895031598026,3.7165638686686724,3.6130878671983035
89646.40436789738,43196.94617004769,3.7024163520210895,3.61536963827397
89646.4809569943,43196.99828740295,3.6846749385142354,3.6198736944100354
89646.55787694863,43197.049746486555,3.6644800236729034,3.6248345932746546
89646.63581539306,43197.09897239118,3.6437324784468648,3.6281460708617503
89646.71483433119,43197.145762120934,3.625332363882577,3.6287873723123245
89646.79438504307,43197.191251905315,3.626914367635192,3.628001446630614
89646.87389344224,43197.23663361391,3.6285790591737923,3.627156899303279
89646.95294826363,43197.28279268551,3.6294024804015,3.627305718460556
89647.03166421052,43197.32962468309,3.6296325213838254,3.626523865673654
89647.11026199379,43197.37682566263,3.6298435713557753,3.623532484095307
89647.18896232435,43197.424091680135,3.6307553112886692,3.6208149370891385
89647.2679859131,43197.47111879158,3.633231008824895,3.6184667216333377
89647.34739995658,43197.51779279139,3.637941925431619,3.6169429690710584
89647.42599041398,43197.56558303911,3.643373299662311,3.6186558439811503
89647.50190611495,43197.61674636435,3.6465311173670707,3.6265565452706925
89647.5734160304,43197.67339205703,3.6438809681888635,3.6428514848870437
89647.640591571,43197.73541538785,3.634008120298742,3.6662376617616403
