idx,ub,lb
154,1.7397600479523125,-5.041611616843509
155,1.4085996832037053,-4.909997529479775
156,0.9892691811856622,-3.5781919407347638
157,0.9768332945776541,-2.858703508899745
158,0.5,-2.1363958134047283
159,0.5,-1.0481111543609314
160,0.5,-1.182307346372962
161,0.5,-0.8183070890469564
162,0.5,-0.6840732066615691
163,0.6860665206108092,-0.9408196489281739
164,2.1896942743538537,-0.9450185881476949
165,2.274404699580301,-0.8802922427362361
166,3.9045876939455537,-1.0545595116702517
167,4.057546942451005,-0.8655232897779961
168,4.1240917822165075,-0.9755211554217005
169,3.8436659738886645,-1.5782633019250696
170,3.4888079198458706,-1.4927867203595917
171,3.656281265253325,-1.9254577558553356
172,2.6846539566193304,-2.2320569149285587
173,3.267922822228071,-2.5172867956858824
174,3.2056812015322116,-2.3165335287558655
175,2.677506626330893,-2.7785848487926312
176,3.254187178201093,-2.7616762015993235
177,3.364985538311597,-2.8088278413690464
178,3.4702318820308307,-2.5346675532535925
179,3.626418038720414,-3.0453582807903357
180,3.6795073890626453,-3.15901382475165
181,3.3425641613250554,-3.742637498558083
182,3.50580820836711,-3.5244746836822145
183,3.3043566044818493,-4.342473247287536
184,2.469191812153148,-5.301127576751984
185,1.6534945113058137,-4.751237035127769
186,2.0382327240699256,-5.179086300377248
187,1.734718236216648,-5.932998341415017
188,1.3477533885137725,-4.404807095334157
189,1.4045407235654186,-4.857844124883906
190,1.0049474864773207,-5.4082435314368
191,0.5,-2.645759057021702
192,1.5815138188004982,-2.2969637505145974
193,1.6763880976827779,-3.707061506835631
194,1.8783098149083912,-4.122002853929873
195,1.874318633158534,-4.172226078559216
196,2.161898738325595,-4.622657697596975
197,1.8490072549302077,-5.029119436247159
198,2.109200485660317,-2.070812458755441
199,1.7495932003766144,-2.8533520957565726
200,2.103807246753857,-3.279436013967892
201,2.325335813715139,-2.772866858491202
202,2.3547190007353507,-2.9324048613430582
203,2.300446926392713,-2.7114022878685695
204,1.974497845065108,-2.209435807394036
205,2.2266662205892676,-1.4268306386192915
206,1.9755269817466872,-1.4442297298186733
207,1.4736586229890518,-0.8041994918165691
208,0.5367964793455868,-0.5
209,0.9448893461951409,-0.5
210,0.5,-0.5
211,0.5,-0.5
212,1.509483968446887,-0.5
213,2.5715241489345524,-0.5
214,4.103802761495974,-0.9218326561836163
215,4.262270852833095,-0.6954480946737132
216,5.212863531671447,-0.9812619785190457
217,5.7741854198451446,-1.295056056433086
