s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps3
191.8104628,89621.7970991,43177.3171690,-2.6511301,0.1368854,6.6627794,5.0919095
193.8084885,89623.0474649,43175.5744728,-2.3982606,0.0919823,8.0461271,4.9965305
195.8065141,89624.5248619,43174.1784973,-2.2761588,0.0351797,9.2036163,4.9029380
197.8045398,89626.0927794,43172.9193513,-2.2088182,0.0595657,10.2126855,4.7880153
199.8025654,89627.7018864,43171.8941039,-2.0698209,0.0405934,11.1100000,0.0000000
201.8005911,89629.4668871,43170.9279688,-2.1093360,-0.0678039,11.1100000,0.0000000
203.7986167,89631.1165555,43169.7707845,-2.2495767,-0.0605264,11.1100000,0.0000000
205.7966424,89632.6079568,43168.4140401,-2.3679987,-0.0575434,11.1100000,0.0000000
207.7946680,89633.9229835,43166.9173718,-2.4674403,-0.0396881,11.1100000,0.0000000
209.7926937,89635.1140913,43165.3236278,-2.5264946,-0.0218212,11.1100000,0.0000000
211.7907194,89636.2390701,43163.6727132,-2.5559795,-0.0094514,11.1100000,0.0000000
213.7887450,89637.3302312,43162.0000595,-2.5692646,-0.0037937,11.1100000,0.0000000
215.7867707,89638.4071140,43160.3196025,-2.5732403,-0.0008024,11.1100000,0.0000000
217.7847963,89639.4820053,43158.6362734,-2.5726265,0.0014707,11.1100000,0.0000000
219.7828220,89640.5626174,43156.9549582,-2.5672878,0.0038484,11.1100000,0.0000000
221.7808476,89641.6530616,43155.2857823,-2.5581313,0.0051728,11.1100000,0.0000000
223.7788733,89642.7629040,43153.6238146,-2.5485615,0.0008839,11.1100000,0.0000000
225.7768989,89643.8742787,43151.9610832,-2.5608293,-0.0129497,11.1100000,0.0000000
227.7749246,89644.9230016,43150.2832409,-2.6173649,-0.0471827,11.1100000,-1.1849548
229.7729502,89645.8273249,43148.4869421,-2.7409504,-0.0690224,10.8948134,-4.3405182
231.7709759,89646.4749519,43146.5926363,-2.8868393,-0.0793729,10.0673744,-4.0022271
233.7690016,89646.8191920,43144.5612267,-3.0605189,-0.0815725,9.2389892,-5.3076395
235.7670272,89646.8188773,43142.6212717,3.0541550,-0.1024396,8.0093272,-3.7126276
237.7650529,89646.3797885,43140.6601710,2.7629156,-0.1727424,7.0223551,-0.2269066
239.7630785,89645.3255025,43138.9637722,2.3855858,-0.2478994,6.9574953,-0.2269066
241.7611042,89643.6486995,43137.9995839,1.8328195,-0.1648972,6.8920251,3.9447267
243.7591298,89641.6921343,43137.7861502,1.5031529,-0.1859358,7.9538255,-0.0594661
245.7571555,89639.8035945,43138.1987020,1.2399870,-0.0945829,7.9388734,5.0045670
247.7551811,89637.9574130,43139.0066449,1.0840746,-0.0707441,9.1117626,4.9108240
249.7532068,89636.2159125,43140.0998825,0.9340643,-0.0773077,10.1315409,3.5833449
251.7512324,89634.6862281,43141.4149700,0.7901440,-0.0690255,10.8151446,1.6177841
253.7492581,89633.3672893,43142.9257937,0.6405390,-0.0812201,11.1100000,0.0000000
255.7472838,89632.3131708,43144.6162219,0.4736469,-0.0840438,11.1100000,0.0000000
257.7453094,89631.5569832,43146.4338969,0.3209294,-0.0658551,11.1100000,0.0000000
259.7433351,89631.0334126,43148.3489691,0.2241708,-0.0329805,11.1100000,0.0000000
261.7413607,89630.6383707,43150.3091844,0.1807037,-0.0114847,11.1100000,0.0000000
263.7393864,89630.2884861,43152.2935581,0.1728121,0.0023735,11.1100000,0.0000000
265.7374120,89629.9309490,43154.2646940,0.1911888,0.0198360,11.1100000,0.0000000
267.7354377,89629.4859744,43156.2156976,0.2712548,0.0616103,11.1100000,0.0000000
269.7334633,89628.8277009,43158.0485088,0.4294674,0.0948143,11.1100000,0.0000000
271.7314890,89627.8258226,43159.7807361,0.6152254,0.0830177,11.1100000,0.0000000
273.7295146,89626.5618868,43161.3076854,0.7636052,0.0704372,11.1100000,-2.8852901
275.7275403,89625.0178565,43162.7017007,0.9071854,0.0650443,10.5783899,-5.0850101
277.7255659,89623.3669962,43163.8243293,1.0447682,0.0801932,9.5698679,-4.8473934
279.7235916,89621.5167320,43164.6727131,1.2451734,0.1037377,8.4977608,-4.4490689
281.7216173,89619.6485886,43165.1209507,1.4287350,0.1249188,7.3778880,-4.7161256
283.7196429,89617.6417520,43165.0847279,1.7663157,0.1661245,5.9655135,-0.1637485
285.7176686,89615.7905003,43164.3592034,2.1824017,0.3435147,5.9104149,-0.1637485
287.7156942,89614.4963278,43163.0157393,2.4287406,0.1558920,5.8547978,5.1393188
289.7137199,89613.5789877,43161.2810546,2.8544509,0.1395851,7.4037584,4.0916064
291.7117455,89613.2380276,43159.2431551,3.0875038,0.1072838,8.4359888,4.0314600
293.7097712,89613.3442749,43157.2073780,-2.9936508,0.0833613,9.3421533,4.3154681
295.7077968,89613.7888608,43155.2588248,-2.8463994,0.0664904,10.2235346,4.5604401
297.7058225,89614.5005692,43153.3383492,-2.7360515,0.0398760,11.0790078,0.1720917
299.7038481,89615.3352067,43151.5419958,-2.6832229,0.0256854,11.1100000,0.0000000
301.7018738,89616.2624029,43149.8064005,-2.6117300,0.0464905,11.1100000,0.0000000
303.6998995,89617.3310966,43148.1420407,-2.5381598,0.0236919,11.1100000,0.0000000
305.6979251,89618.4826065,43146.5229422,-2.5155800,0.0024685,11.1100000,0.0000000
307.6959508,89619.6629242,43144.8837864,-2.5236185,-0.0095263,11.1100000,0.0000000
309.6939764,89620.8000969,43143.2455963,-2.5476516,-0.0145957,11.1100000,0.0000000
311.6920021,89621.8960695,43141.5666036,-2.5780993,-0.0125500,11.1100000,0.0000000
313.6900277,89622.9458933,43139.8676338,-2.5955878,-0.0048829,11.1100000,0.0000000
315.6880534,89623.9863308,43138.1529393,-2.5924545,0.0081965,11.1100000,0.0000000
317.6860790,89625.0507147,43136.4628935,-2.5617140,0.0230007,11.1100000,0.0000000
319.6841047,89626.1874630,43134.8295884,-2.5001643,0.0386199,11.1100000,0.0000000
321.6821303,89627.4386959,43133.2862642,-2.4195348,0.0415549,11.1100000,0.0000000
323.6801560,89628.8160980,43131.8442411,-2.3414401,0.0338706,11.1100000,0.0000000
325.6781817,89630.3018363,43130.4875119,-2.2833516,0.0245436,11.1100000,0.0000000
327.6762073,89631.8563570,43129.2065018,-2.2378218,0.0212210,11.1100000,0.0000000
329.6742330,89633.4583541,43127.9978910,-2.1979067,0.0164162,11.1100000,0.0000000
331.6722586,89635.0699806,43126.8600989,-2.1773621,0.0036227,11.1100000,0.0000000
