idx,s_m,local_smoothing,blend,displacement_from_arclength_base_m,kappa_radpm,requested_steer_rate_radps,ub,lb
435,253.12870855937308,True,1.0,0.41516079646837023,0.21765903534683784,0.15601851437286277,3.3870520363953838,-4.025989945053521
436,253.6231867374912,True,1.0,0.4708299281723866,0.22821900522709393,0.03703559797214465,3.34376325799627,-4.0800751447013335
437,254.11298721464178,True,1.0,0.5306124236459349,0.23093572399106202,0.23141059498680455,3.2890375723285934,-4.109321782646696
438,254.60135145107307,True,1.0,0.5637027668748807,0.22508218955655163,0.412198156635503,3.196286700680259,-4.195829604255414
439,255.0928206523712,True,1.0,0.5642033514712035,0.21137426646438529,0.5326511209050537,3.1112945097453175,-4.184138847936392
440,255.59133576842902,True,1.0,0.6148105916074753,0.19018402909574444,0.5854293689626624,3.120939837957005,-4.225303649945072
441,256.1001382896274,True,1.0,0.6925258739424335,0.16601058781861758,0.5860558758408053,2.998568500453522,-4.242972177648113
442,256.6215935582275,True,1.0,0.7459600484891873,0.1398466364989529,0.5494017983761222,2.9295958016527677,-4.329367731746845
443,257.1569795147393,True,1.0,0.7353548523228598,0.11492406392713946,0.5071730844085875,2.9002738363717047,-4.29721786987947
444,257.7064920952268,True,1.0,0.6074094065792507,0.09118129566643698,0.517224779363091,2.9804760013753313,-4.246573027747985
445,258.2693412764199,True,1.0,0.3987930179651022,0.06922083083129207,0.46023913868427263,3.0505059477453624,-4.2062744491408885
446,258.8448205820855,True,1.0,0.26896150039678196,0.04378506357119754,0.3791790572226566,3.2572309114498714,-4.1530828927376495
447,259.42972511229283,True,1.0,0.2524012488745993,0.02638808143272936,0.3698080961201163,4.394236697945112,-3.9531437758452586
448,260.02112853018906,True,1.0,0.09206566817676655,0.008108143782995724,0.3730548777519455,4.955553688821014,-3.80767637677428
449,260.61596526517417,True,1.0,0.32642406943989044,-0.008666932863633263,0.43508604304034243,5.410129449325563,-3.571812032589829
450,261.210498323191,True,1.0,0.6318321993642032,-0.027348860408671523,0.5581931160512609,5.8058984991628195,-3.2238186637015094
451,261.80129461656855,True,1.0,0.673862671891931,-0.049932461129275865,0.5863552884290176,6.049769685932805,-3.0230149280238066
452,262.3854592603499,True,1.0,0.5710568409510309,-0.08000827170247946,0.5534472097912689,6.003767659566033,-2.8925974824627287
453,262.9612365059081,True,1.0,0.4305657371882067,-0.10481637468624772,0.5350581118369906,5.456291888714394,-2.7216717762896097
