x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89678.7882506,43164.6560849,0.0,0.0,0.0,0.22629814638102272,0.9740580829419327,9.8020105
89677.71664510001,43166.3278514,0.0,0.0,0.0,0.33629689965039383,0.9417560168565597,9.430851
89676.2890927,43167.7152482,0.0,0.0,0.0,0.437947401623216,0.899000597002846,9.319944
89674.5973876,43168.7935588,0.0,0.0,0.0,0.5218979084434158,0.8530079560955971,8.6978107
89672.622577,43169.5684769,0.0,0.0,0.0,0.6037488879913218,0.7971745607138014,7.5909031
89670.68202230001,43169.848679099996,0.0,0.0,0.0,0.7186345909437324,0.6953878951341722,7.520792
89668.8311989,43169.5817623,0.0,0.0,0.0,0.7684187715394215,0.6399473349783139,7.4500212
89667.0866185,43168.8460405,0.0,0.0,0.0,0.8902438481549911,0.45548423773188157,8.2834657
89665.576558,43167.424756399996,0.0,0.0,0.0,0.935536442536988,0.35323018654304866,8.2055181
89664.3308959,43165.8778387,0.0,0.0,0.0,0.9481488781574845,0.3178265326380157,9.3406851
89663.05999760001,43164.148231,0.0,0.0,0.0,0.9503696920505167,0.3111228831696668,8.754599
89661.8666686,43162.636022599996,0.0,0.0,0.0,0.9325490476341172,0.36104331285415203,7.7815643
89660.3527089,43161.3713145,0.0,0.0,0.0,0.9001860363991958,0.43550556812962293,7.1500152
89658.7604218,43160.1996484,0.0,0.0,0.0,0.8448194323659362,0.5350515177970225,7.0839763
89656.9366263,43159.6702611,0.0,0.0,0.0,0.7618393036305218,0.6477660653690973,7.0173159
89654.8544623,43159.5611774,0.0,0.0,0.0,0.6865122515174908,0.727118235582347,8.3366303
89652.8835736,43159.891934,0.0,0.0,0.0,0.6020072985777498,0.798490583826209,9.3105725
89651.04094610001,43160.6654202,0.0,0.0,0.0,0.5043645942126792,0.8634907967689519,9.310506
89649.4214103,43161.8305013,0.0,0.0,0.0,0.40702181343540234,0.9134184382788408,8.9149492
89648.04298350001,43163.368386,0.0,0.0,0.0,0.3062840843617395,0.9519401555069997,8.2038754
89647.0951783,43165.1304261,0.0,0.0,0.0,0.1737408224913561,0.9847914127367414,6.9728737
89646.6278712,43167.0335662,0.0,0.0,0.0,0.0845266712303888,0.996421217081767,6.8310847
89646.5678226,43168.93655,0.0,0.0,0.0,-0.09483447141754917,0.9954930552399419,6.7679915
89647.1802167,43170.7356155,0.0,0.0,0.0,-0.21447842832109115,0.9767287257907973,6.7043046
89648.36083610001,43172.4419311,0.0,0.0,0.0,-0.37933178645492427,0.9252607177357719,8.0799031
89649.9243086,43173.711215999996,0.0,0.0,0.0,-0.4721560265680847,0.8815149950939224,8.7420761
89651.73045300001,43174.6947086,0.0,0.0,0.0,-0.5463084568177937,0.8375840674280767,9.8067035
89653.56263310001,43175.3942284,0.0,0.0,0.0,-0.5793910420629969,0.8150497042372046,10.7493754
89655.4759189,43176.0682009,0.0,0.0,0.0,-0.571670697171713,0.8204831588736039,10.9664626
89657.3308855,43176.8413842,0.0,0.0,0.0,-0.5325827257216104,0.8463779535544035,9.6358541
89659.036665,43177.8045987,0.0,0.0,0.0,-0.4706382849013697,0.8823262462293056,8.4349029
89660.5346495,43179.1048164,0.0,0.0,0.0,-0.3484364963864347,0.9373323892760487,7.6077197
89661.59309570001,43180.8085704,0.0,0.0,0.0,-0.1908777895796451,0.9816138087074716,6.9935352
89661.8715004,43182.7671627,0.0,0.0,0.0,0.05679172721068087,0.9983860474387789,6.481175
89661.18339410001,43184.6152046,0.0,0.0,0.0,0.302571485384041,0.9531266947434087,6.4213136
89659.64841180001,43185.8438337,0.0,0.0,0.0,0.5302054412598765,0.8478692057495777,6.3608889
89657.79499560001,43186.4195871,0.0,0.0,0.0,0.6597422313370984,0.7514919748010264,7.8026974
89655.8495046,43186.4265926,0.0,0.0,0.0,0.7414600221646119,0.6709970458442073,8.2191841
89653.8190456,43186.026305,0.0,0.0,0.0,0.8002444527593333,0.5996739245856161,9.3524678
89651.9303527,43185.3413844,0.0,0.0,0.0,0.8337179519672907,0.5521905256045837,10.3445303
89650.09210970001,43184.4849129,0.0,0.0,0.0,0.8497296255462753,0.5272187055378316,11.11
89648.30963860001,43183.6026751,0.0,0.0,0.0,0.8459621073412525,0.5332430149029119,11.11
89646.43443390001,43182.782981,0.0,0.0,0.0,0.8246633172398995,0.565623914981399,10.6685124
89644.5242876,43182.1983002,0.0,0.0,0.0,0.7806137847685016,0.6250136950734723,9.4405535
89642.6328279,43181.8792079,0.0,0.0,0.0,0.7410496360137756,0.6714502490608301,8.9805143
89640.68240800001,43182.0084915,0.0,0.0,0.0,0.6186673218500626,0.7856530690291175,8.8975686
89638.79717070001,43182.751101,0.0,0.0,0.0,0.5082081503970263,0.8612342746721321,8.8138423
